Date,Price,Open,High,Low,Change %
"Sep 04, 2016",4.0101,3.9154,4.108,3.9154,2.42
"Sep 03, 2016",3.9154,3.817,3.9627,3.8132,2.58
"Sep 02, 2016",3.817,3.8262,3.8549,3.8,-0.24
"Sep 01, 2016",3.8262,3.809,3.8659,3.8,0.45
"Aug 31, 2016",3.809,3.803,3.8095,3.7771,0.16
"Aug 30, 2016",3.803,3.7719,3.85,3.74,0.82
"Aug 29, 2016",3.7719,3.7645,3.8085,3.746,0.2
"Aug 28, 2016",3.7645,3.758,3.7781,3.708,0.17
"Aug 27, 2016",3.758,3.84,3.848,3.7103,-2.14
"Aug 26, 2016",3.84,3.8159,3.8537,3.78,0.63
"Aug 25, 2016",3.8159,3.8414,3.8688,3.7683,-0.66
"Aug 24, 2016",3.8414,3.95,3.9685,3.8414,-2.75
"Aug 23, 2016",3.95,3.672,4.02,3.67,7.57
"Aug 22, 2016",3.672,3.6246,3.687,3.5996,1.31
"Aug 21, 2016",3.6246,3.6235,3.6348,3.5996,0.03
"Aug 20, 2016",3.6235,3.6226,3.6295,3.58,0.02
"Aug 19, 2016",3.6226,3.5907,3.6241,3.57,0.89
"Aug 18, 2016",3.5907,3.5702,3.639,3.5702,0.57
"Aug 17, 2016",3.5702,3.6,3.61,3.56,-0.83
"Aug 16, 2016",3.6,3.53,3.63,3.5195,1.98
"Aug 15, 2016",3.53,3.63,3.65,3.49,-2.75
"Aug 14, 2016",3.63,3.69,3.7058,3.5829,-1.63
"Aug 13, 2016",3.69,3.66,3.75,3.5791,1.1
"Aug 12, 2016",3.65,3.746,3.77,3.61,-2.56
"Aug 11, 2016",3.746,3.56,3.746,3.5,5.22
"Aug 10, 2016",3.56,3.7332,3.8769,3.5503,-4.64
"Aug 09, 2016",3.7332,3.7332,3.7332,3.7332,0
"Aug 08, 2016",3.7332,3.7332,3.7332,3.7332,0
"Aug 07, 2016",3.7332,0,3.7332,0,0
